"x","y"
"1682812800000","676938.3538977067"
"1682899200000","816867.80037674"
"1682985600000","673165.5041069923"
"1683072000000","951363.8871065668"
"1683158400000","838973.7156321363"
"1683244800000","821755.2957860519"
"1683331200000","872788.127934755"
"1683417600000","1020109.309876"
"1683504000000","800540.696421211"
"1683590400000","745971.0085325907"
"1683676800000","847529.6317737019"
"1683763200000","854687.5777519386"
"1683849600000","961567.3125304152"
"1683936000000","527760.2436363552"
"1684022400000","521803.0704965116"
"1684108800000","718574.0874533715"
"1684195200000","884090.8603749563"
"1684281600000","836811.1948932902"
"1684368000000","834936.154466927"
"1684454400000","731605.8663496075"
"1684540800000","488585.64961757895"
"1684627200000","532324.9063328151"
"1684713600000","837237.7582461869"
"1684800000000","948190.1385855927"
"1684886400000","991723.4285446507"
"1684972800000","849143.1488337782"
"1685059200000","720918.5863451165"
"1685145600000","541931.8974443405"
"1685232000000","630627.1936986909"
"1685318400000","880581.2657687835"
"1685404800000","1012502.2653398761"
"1685491200000","1390860.7624147716"
"1685577600000","1100258.0897132698"
"1685664000000","1256071.1651489728"
"1685750400000","819875.2366021198"
"1685836800000","962564.3928059011"
"1685923200000","1536383.675306426"
"1686009600000","1353634.713884442"
"1686096000000","1020736.8918145619"
"1686182400000","1059386.5714597565"
"1686268800000","1118985.1425051205"
"1686355200000","1031633.6773464434"
"1686441600000","1025490.6997306608"
"1686528000000","1167701.6224063758"
"1686614400000","1001925.9582235044"
"1686700800000","960062.1867403256"
"1686787200000","931644.1196554066"
"1686873600000","992766.0933379089"
"1686960000000","677173.3202912217"
"1687046400000","755464.6991560179"
"1687132800000","957852.9124955928"
"1687219200000","1060969.171650034"
"1687305600000","1219055.77862459"
"1687392000000","1175385.9885338095"
"1687478400000","1059356.2074180439"
"1687564800000","729531.7530779238"
"1687651200000","776166.1887162057"
"1687737600000","1042169.6958935944"
"1687824000000","989993.555701595"
"1687910400000","931843.2289083635"
"1687996800000","1141335.525933798"
"1688083200000","1147700.6111096765"
"1688169600000","760626.7491408052"
"1688256000000","589951.4184571125"
"1688342400000","929045.208527094"
"1688428800000","877207.5105269701"
"1688515200000","843727.5042979434"
"1688601600000","928908.8471467932"
"1688688000000","924497.3383687681"
"1688774400000","708110.538873335"
"1688860800000","721745.7382179768"
"1688947200000","913774.6374530159"
"1689033600000","815970.1876022136"
"1689120000000","904499.0041863366"
"1689206400000","930321.1689789483"
"1689292800000","946356.1511906988"
"1689379200000","680788.2195990614"
"1689465600000","686696.6677355781"
"1689552000000","865536.8885895377"
"1689638400000","1109685.0647468467"
"1689724800000","894747.3018870612"
"1689811200000","864106.069914619"
"1689897600000","744311.1848481537"
"1689984000000","526723.2991480043"
"1690070400000","535511.3570369008"
"1690156800000","752843.9563626994"
"1690243200000","691905.0381751502"
"1690329600000","701005.7520180536"
"1690416000000","739623.5062808398"
"1690502400000","786619.9205024065"
"1690588800000","536663.1513000766"
"1690675200000","625826.0802420053"
"1690761600000","797988.1651391743"
"1690848000000","757590.1896860533"
"1690934400000","689168.2335844436"
"1691020800000","690635.5035073283"
"1691107200000","660473.318010671"
"1691193600000","581305.9063528628"
"1691280000000","505741.6315525863"
"1691366400000","894423.968834785"
"1691452800000","898828.7357188861"
"1691539200000","873150.8440148145"
"1691625600000","941072.4194874854"
"1691712000000","818625.1948242271"
"1691798400000","735684.3152142507"
"1691884800000","623711.5013007269"
"1691971200000","858431.9676072722"
"1692057600000","802670.9238196025"
"1692144000000","911735.1443696149"
"1692230400000","1218979.2684066624"
